date,Alnus,Betula,Taxus,Fraxinus,Poaceae,Quercus,Ulmus,Urtica
2010-03-01,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2010-03-02,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-03,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-16,5.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
2010-03-17,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2010-03-18,66.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
2010-03-19,129.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
2010-03-20,208.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0
2010-03-21,91.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
2010-03-22,56.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
2010-03-23,58.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0
2010-03-24,,0.0,1340.0,0.0,0.0,0.0,3.0,0.0
2010-03-25,,4.0,554.0,0.0,0.0,0.0,28.0,0.0
2010-03-26,,3.0,732.0,0.0,0.0,0.0,31.0,0.0
2010-03-27,,5.0,,0.0,0.0,0.0,31.0,0.0
2010-03-28,,1.0,,1.0,0.0,0.0,0.0,0.0
2010-03-29,,0.0,,,0.0,0.0,6.0,0.0
2010-03-30,,7.0,254.0,,0.0,1.0,142.0,0.0
2010-03-31,2.0,,33.0,,0.0,1.0,63.0,0.0
2010-04-01,2.0,,0.0,,0.0,1.0,21.0,0.0
2010-04-02,0.0,,0.0,,0.0,0.0,22.0,0.0
2010-04-03,3.0,,15.0,,0.0,1.0,75.0,0.0
2010-04-04,0.0,,17.0,383.0,0.0,5.0,69.0,0.0
2010-04-05,0.0,,6.0,164.0,0.0,5.0,25.0,0.0
2010-04-06,1.0,,9.0,505.0,0.0,2.0,50.0,0.0
2010-04-07,0.0,,8.0,1556.0,0.0,2.0,66.0,0.0
2010-04-08,2.0,,54.0,812.0,0.0,5.0,18.0,0.0
2010-04-09,0.0,386.0,45.0,1091.0,0.0,4.0,28.0,0.0
2010-04-10,0.0,126.0,6.0,691.0,0.0,2.0,26.0,0.0
2010-04-11,0.0,42.0,6.0,691.0,0.0,2.0,9.0,0.0
2010-04-12,0.0,21.0,3.0,486.0,0.0,2.0,,0.0
2010-04-13,0.0,53.0,1.0,288.0,0.0,2.0,,0.0
2010-04-14,0.0,22.0,1.0,51.0,0.0,0.0,,0.0
2010-04-15,0.0,40.0,1.0,103.0,0.0,1.0,,0.0
2010-04-16,0.0,209.0,2.0,215.0,0.0,7.0,,0.0
2010-04-17,0.0,483.0,12.0,407.0,0.0,2.0,,0.0
2010-04-18,0.0,469.0,28.0,275.0,0.0,5.0,,0.0
2010-04-19,0.0,398.0,4.0,,0.0,7.0,,0.0
2010-04-20,1.0,861.0,10.0,,0.0,12.0,16.0,0.0
2010-04-21,0.0,502.0,12.0,,,6.0,9.0,0.0
2010-04-22,0.0,160.0,4.0,,,2.0,10.0,0.0
2010-04-23,0.0,394.0,1.0,,,4.0,23.0,0.0
2010-04-24,0.0,581.0,3.0,,,4.0,16.0,0.0
2010-04-25,0.0,627.0,2.0,,,22.0,44.0,0.0
2010-04-26,0.0,794.0,5.0,92.0,,42.0,42.0,0.0
2010-04-27,0.0,98.0,1.0,21.0,,10.0,7.0,0.0
2010-04-28,0.0,171.0,23.0,16.0,,34.0,7.0,0.0
2010-04-29,2.0,180.0,4.0,29.0,,52.0,2.0,0.0
2010-04-30,0.0,369.0,17.0,40.0,,189.0,2.0,0.0
2010-05-01,0.0,13.0,8.0,1.0,0.0,11.0,0.0,0.0
2010-05-02,0.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0
2010-05-03,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0
2010-05-04,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2010-05-05,0.0,23.0,0.0,2.0,3.0,29.0,0.0,0.0
2010-05-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-05-07,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0
2010-05-08,0.0,4.0,0.0,1.0,5.0,20.0,0.0,0.0
2010-05-09,2.0,12.0,4.0,3.0,5.0,18.0,0.0,0.0
2010-05-10,0.0,0.0,5.0,0.0,2.0,29.0,0.0,0.0
2010-05-11,0.0,7.0,7.0,1.0,6.0,36.0,0.0,0.0
2010-05-12,0.0,2.0,3.0,0.0,3.0,9.0,0.0,0.0
2010-05-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-05-14,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
2010-05-15,0.0,0.0,1.0,0.0,2.0,,0.0,0.0
2010-05-16,0.0,10.0,0.0,0.0,2.0,,0.0,0.0
2010-05-17,0.0,1.0,0.0,1.0,17.0,,0.0,0.0
2010-05-18,0.0,5.0,0.0,0.0,9.0,,0.0,0.0
2010-05-19,0.0,0.0,1.0,0.0,2.0,,0.0,0.0
2010-05-20,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
2010-05-21,0.0,1.0,0.0,0.0,1.0,,0.0,0.0
2010-05-22,0.0,1.0,0.0,0.0,5.0,,0.0,0.0
2010-05-23,0.0,1.0,5.0,0.0,7.0,12.0,0.0,0.0
2010-05-24,0.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0
2010-05-25,0.0,3.0,3.0,0.0,20.0,6.0,0.0,0.0
2010-05-26,0.0,3.0,0.0,0.0,20.0,13.0,0.0,1.0
2010-05-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-05-28,0.0,0.0,0.0,0.0,13.0,4.0,0.0,1.0
2010-05-29,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0
2010-05-30,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2010-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-04,0.0,2.0,5.0,0.0,13.0,0.0,0.0,1.0
2010-06-05,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0
2010-06-06,1.0,0.0,0.0,0.0,46.0,2.0,0.0,4.0
2010-06-07,4.0,0.0,0.0,0.0,43.0,1.0,0.0,3.0
2010-06-08,1.0,0.0,0.0,0.0,48.0,0.0,0.0,3.0
2010-06-09,14.0,0.0,1.0,0.0,98.0,1.0,0.0,12.0
2010-06-10,10.0,0.0,2.0,0.0,117.0,1.0,0.0,4.0
2010-06-11,10.0,1.0,1.0,0.0,179.0,3.0,0.0,14.0
2010-06-12,11.0,0.0,1.0,0.0,111.0,2.0,0.0,24.0
2010-06-13,2.0,0.0,0.0,0.0,117.0,2.0,0.0,47.0
2010-06-14,0.0,0.0,0.0,0.0,16.0,0.0,0.0,22.0
2010-06-15,0.0,0.0,0.0,0.0,20.0,1.0,0.0,16.0
2010-06-16,0.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0
2010-06-17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
2010-06-18,0.0,0.0,0.0,0.0,18.0,0.0,0.0,
2010-06-19,0.0,1.0,0.0,0.0,3.0,0.0,0.0,
2010-06-20,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
2010-06-21,0.0,0.0,0.0,0.0,4.0,0.0,0.0,
2010-06-22,0.0,0.0,0.0,0.0,46.0,0.0,0.0,
2010-06-23,0.0,0.0,0.0,0.0,76.0,0.0,0.0,
2010-06-24,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2010-06-25,0.0,0.0,0.0,0.0,33.0,0.0,0.0,
2010-06-26,0.0,0.0,0.0,0.0,11.0,0.0,0.0,
2010-06-27,0.0,0.0,0.0,0.0,22.0,0.0,0.0,114.0
2010-06-28,0.0,0.0,0.0,0.0,16.0,0.0,0.0,126.0
2010-06-29,0.0,0.0,0.0,0.0,20.0,0.0,0.0,69.0
2010-06-30,0.0,0.0,0.0,0.0,8.0,0.0,0.0,102.0
2010-07-01,0.0,0.0,0.0,0.0,13.0,0.0,0.0,142.0
2010-07-02,0.0,0.0,0.0,0.0,19.0,0.0,0.0,170.0
2010-07-03,0.0,0.0,0.0,0.0,25.0,0.0,0.0,154.0
2010-07-04,0.0,0.0,0.0,0.0,22.0,0.0,0.0,94.0
2010-07-05,0.0,0.0,0.0,0.0,10.0,0.0,0.0,97.0
2010-07-06,0.0,0.0,0.0,0.0,28.0,0.0,0.0,148.0
2010-07-07,0.0,0.0,0.0,0.0,31.0,0.0,0.0,120.0
2010-07-08,0.0,0.0,0.0,0.0,29.0,0.0,0.0,122.0
2010-07-09,0.0,0.0,0.0,0.0,22.0,0.0,0.0,133.0
2010-07-10,0.0,0.0,0.0,0.0,19.0,0.0,0.0,145.0
2010-07-11,0.0,0.0,0.0,0.0,15.0,0.0,0.0,244.0
2010-07-12,0.0,0.0,0.0,0.0,21.0,0.0,0.0,209.0
2010-07-13,0.0,0.0,0.0,0.0,24.0,0.0,0.0,130.0
2010-07-14,0.0,0.0,0.0,0.0,18.0,0.0,0.0,91.0
2010-07-15,0.0,0.0,0.0,0.0,12.0,0.0,0.0,103.0
2010-07-16,0.0,0.0,0.0,0.0,17.0,0.0,0.0,146.0
2010-07-17,0.0,0.0,0.0,0.0,3.0,0.0,0.0,70.0
2010-07-18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0
2010-07-19,0.0,0.0,0.0,0.0,12.0,0.0,0.0,85.0
2010-07-20,0.0,0.0,0.0,0.0,20.0,0.0,0.0,108.0
2010-07-21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0
2010-07-22,0.0,0.0,0.0,0.0,10.0,0.0,0.0,54.0
2010-07-23,,,,,,,,
2010-07-24,,,,,,,,
2010-07-25,,,,,,,,
2010-07-26,,,,,,,,
2010-07-27,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0
2010-07-28,0.0,0.0,0.0,0.0,4.0,0.0,0.0,23.0
2010-07-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
2010-07-30,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0
2010-07-31,0.0,0.0,0.0,0.0,13.0,0.0,0.0,31.0
2010-08-01,0.0,0.0,0.0,0.0,6.0,0.0,0.0,32.0
2010-08-02,0.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0
2010-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2010-08-04,,,,,,,,
2010-08-05,,,,,,,,
2010-08-06,,,,,,,,
2010-08-07,,,,,,,,
2010-08-08,,,,,,,,
2010-08-09,,,,,,,,
2010-08-10,0.0,0.0,0.0,0.0,4.0,0.0,0.0,26.0
2010-08-11,0.0,0.0,0.0,0.0,7.0,0.0,0.0,54.0
2010-08-12,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0
2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2010-08-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0
2010-08-15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.0
2010-08-16,0.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0
2010-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2010-08-18,0.0,0.0,0.0,0.0,3.0,0.0,0.0,62.0
2010-08-19,0.0,0.0,0.0,0.0,6.0,0.0,0.0,59.0
2010-08-20,0.0,0.0,1.0,0.0,4.0,0.0,0.0,76.0
2010-08-21,0.0,0.0,0.0,0.0,4.0,0.0,0.0,67.0
2010-08-22,0.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0
2010-08-23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0
2010-08-24,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0
2010-08-25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0
2010-08-26,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0
2010-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2010-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2010-08-29,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0
2010-08-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2010-09-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0
2010-09-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
2010-09-03,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0
2010-09-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0
2010-09-05,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0
2010-09-06,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0
2010-09-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0
2010-09-08,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
2010-09-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2010-09-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
2010-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2010-09-12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0
2010-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-09-15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
2010-09-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2010-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2010-09-18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2010-09-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2010-09-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2010-09-21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2010-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2010-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2010-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2010-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2010-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2010-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2010-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-10-28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-11-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-03,,,,,,,,
2010-11-04,,,,,,,,
2010-11-05,,,,,,,,
2010-11-06,,,,,,,,
2010-11-07,,,,,,,,
2010-11-08,,,,,,,,
2010-11-09,,,,,,,,
2010-11-10,,,,,,,,
2010-11-11,,,,,,,,
2010-11-12,,,,,,,,
2010-11-13,,,,,,,,
2010-11-14,,,,,,,,
2010-11-15,,,,,,,,
2010-11-16,,,,,,,,
2010-11-17,,,,,,,,
2010-11-18,,,,,,,,
2010-11-19,,,,,,,,
2010-11-20,,,,,,,,
2010-11-21,,,,,,,,
2010-11-22,,,,,,,,
2010-11-23,,,,,,,,
2010-11-24,,,,,,,,
2010-11-25,,,,,,,,
2010-11-26,,,,,,,,
2010-11-27,,,,,,,,
2010-11-28,,,,,,,,
2010-11-29,,,,,,,,
2010-11-30,,,,,,,,
2010-12-01,,,,,,,,
2010-12-02,,,,,,,,
2010-12-03,,,,,,,,
2010-12-04,,,,,,,,
2010-12-05,,,,,,,,
2010-12-06,,,,,,,,
2010-12-07,,,,,,,,
2010-12-08,,,,,,,,
2010-12-09,,,,,,,,
2010-12-10,,,,,,,,
2010-12-11,,,,,,,,
2010-12-12,,,,,,,,
2010-12-13,,,,,,,,
2010-12-14,,,,,,,,
2010-12-15,,,,,,,,
2010-12-16,,,,,,,,
2010-12-17,,,,,,,,
2010-12-18,,,,,,,,
2010-12-19,,,,,,,,
2010-12-20,,,,,,,,
2010-12-21,,,,,,,,
2010-12-22,,,,,,,,
2010-12-23,,,,,,,,
2010-12-24,,,,,,,,
2010-12-25,,,,,,,,
2010-12-26,,,,,,,,
2010-12-27,,,,,,,,
2010-12-28,,,,,,,,
2010-12-29,,,,,,,,
2010-12-30,,,,,,,,
2010-12-31,,,,,,,,
2011-01-01,,,,,,,,
2011-01-02,,,,,,,,
2011-01-03,,,,,,,,
2011-01-04,,,,,,,,
2011-01-05,,,,,,,,
2011-01-06,,,,,,,,
2011-01-07,,,,,,,,
2011-01-08,,,,,,,,
2011-01-09,,,,,,,,
2011-01-10,,,,,,,,
2011-01-11,,,,,,,,
2011-01-12,,,,,,,,
2011-01-13,,,,,,,,
2011-01-14,,,,,,,,
2011-01-15,,,,,,,,
2011-01-16,,,,,,,,
2011-01-17,,,,,,,,
2011-01-18,,,,,,,,
2011-01-19,,,,,,,,
2011-01-20,,,,,,,,
2011-01-21,,,,,,,,
2011-01-22,,,,,,,,
2011-01-23,,,,,,,,
2011-01-24,,,,,,,,
2011-01-25,,,,,,,,
2011-01-26,,,,,,,,
2011-01-27,,,,,,,,
2011-01-28,,,,,,,,
2011-01-29,,,,,,,,
2011-01-30,,,,,,,,
2011-01-31,,,,,,,,
2011-02-01,,,,,,,,
2011-02-02,,,,,,,,
2011-02-03,,,,,,,,
2011-02-04,,,,,,,,
2011-02-05,,,,,,,,
2011-02-06,,,,,,,,
2011-02-07,,,,,,,,
2011-02-08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2011-02-13,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-22,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-02-27,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2011-02-28,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-03-02,83.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-03-06,33.0,0.0,33.0,1.0,0.0,0.0,1.0,0.0
2011-03-07,48.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2011-03-08,44.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
2011-03-09,78.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0
2011-03-10,187.0,0.0,646.0,1.0,0.0,0.0,2.0,0.0
2011-03-11,96.0,0.0,123.0,4.0,0.0,0.0,5.0,0.0
2011-03-12,179.0,0.0,310.0,0.0,0.0,0.0,3.0,0.0
2011-03-13,347.0,0.0,1512.0,0.0,0.0,0.0,9.0,0.0
2011-03-14,181.0,0.0,2340.0,0.0,0.0,0.0,20.0,0.0
2011-03-15,669.0,0.0,1406.0,0.0,0.0,0.0,19.0,0.0
2011-03-16,343.0,0.0,407.0,0.0,0.0,0.0,48.0,0.0
2011-03-17,56.0,0.0,77.0,2.0,0.0,0.0,39.0,0.0
2011-03-18,14.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0
2011-03-19,72.0,0.0,53.0,2.0,0.0,0.0,9.0,0.0
2011-03-20,82.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
2011-03-21,77.0,0.0,99.0,0.0,0.0,0.0,34.0,0.0
2011-03-22,31.0,0.0,279.0,0.0,0.0,0.0,42.0,0.0
2011-03-23,28.0,0.0,1606.0,1.0,0.0,0.0,37.0,0.0
2011-03-24,30.0,0.0,780.0,21.0,0.0,0.0,60.0,0.0
2011-03-25,40.0,2.0,915.0,141.0,0.0,0.0,44.0,0.0
2011-03-26,8.0,3.0,209.0,361.0,1.0,0.0,16.0,0.0
2011-03-27,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
2011-03-28,3.0,0.0,49.0,70.0,0.0,5.0,7.0,0.0
2011-03-29,1.0,0.0,87.0,160.0,0.0,0.0,34.0,0.0
2011-03-30,3.0,2.0,146.0,673.0,0.0,3.0,22.0,0.0
2011-03-31,4.0,0.0,96.0,664.0,0.0,2.0,5.0,0.0
2011-04-01,1.0,3.0,33.0,465.0,0.0,3.0,7.0,0.0
2011-04-02,1.0,6.0,137.0,1660.0,0.0,4.0,5.0,0.0
2011-04-03,1.0,75.0,234.0,1208.0,0.0,2.0,7.0,0.0
2011-04-04,0.0,465.0,129.0,624.0,0.0,4.0,3.0,0.0
2011-04-05,1.0,58.0,36.0,159.0,0.0,0.0,1.0,0.0
